,User,Date,Tweet,Positive,Negative,Neutral,Tweets Ago,Compound
327,Fox,Fri Jun 08 18:23:36 +0000 2018,"Anatomy 80% of emails I get from men I don’t know with more or less ambiguous subjects (like “hi”):

1) I have read… https://t.co/fGlw52IhwC",0.0,1.0,0.0,28,0.0
328,Fox,Fri Jun 08 16:54:52 +0000 2018,@cabel This is an intervention Cabel,0.0,1.0,0.0,29,0.0
329,Fox,Fri Jun 08 13:11:00 +0000 2018,"RT @Candice_MMorgan: Please, please be responsible in reporting these tragic losses. For those struggling, and for the survivors reliving p…",0.235,0.476,0.289,30,-0.3818
330,Fox,Fri Jun 08 13:00:15 +0000 2018,RT @laurenduca: Reach out to someone you care about who might be struggling today. Remind them that they have a place in your heart. Ask ho…,0.148,0.756,0.096,31,0.128
331,Fox,Fri Jun 08 12:43:15 +0000 2018,"@ohhoe I mean, white men are never wrong so it’s obviously misinterpreted and we live in a meritocracy.

(also, yeah, a known offender.)",0.255,0.642,0.103,32,0.4196
332,Fox,Fri Jun 08 12:14:07 +0000 2018,"RT @presentcorrect: 'Your body is not a temple, it's an amusement park. Enjoy the ride.” 

Anthony Bourdain",0.289,0.711,0.0,33,0.6908
333,Fox,Fri Jun 08 12:07:07 +0000 2018,"RT @abcnews: @CNN If you or anyone you know needs help:
Lifeline on 13 11 14
Suicide Call Back Service on 1300 659 467
Beyond Blue on 1300…",0.081,0.783,0.136,34,-0.4215
334,Fox,Fri Jun 08 11:43:32 +0000 2018,"[cw: suicide]

Just a few days after news about Kate Spade broke, Anthony Bourdain is no longer with us. I will kee… https://t.co/QDWnf7l2rA",0.0,0.792,0.208,35,-0.6124
335,Fox,Fri Jun 08 10:43:28 +0000 2018,"RT @soniagupta504: I wish people celebrated Blackness the way they celebrate LGBTQ pride, or women's issues. It seems insulting at this poi…",0.394,0.505,0.101,36,0.8519
336,Fox,Fri Jun 08 10:23:54 +0000 2018,"A short and sweet intro to `position: sticky`, a great alternative to JavaScript-reliant parallaxes that often lead… https://t.co/9qncwTQ5wa",0.336,0.664,0.0,37,0.7964
337,Fox,Fri Jun 08 10:14:06 +0000 2018,"@jstn hope you get some rest and peace of mind. I know how debilitating anxiety can be. 

💖",0.303,0.616,0.081,38,0.6908
338,Fox,Fri Jun 08 09:09:38 +0000 2018,"Awesome work on Code of Conduct and publicising a response guide by @DjangoConEurope team! 👏

https://t.co/Qon2YBixIU",0.253,0.747,0.0,39,0.6588
339,Fox,Fri Jun 08 08:57:01 +0000 2018,Doing some writing in this setting today. 🙌🏻 https://t.co/4WQQ0sjF2Z,0.0,1.0,0.0,40,0.0
340,Fox,Fri Jun 08 08:48:59 +0000 2018,"RT @stephhippo: There is way more to your life and abilities than GitHub squares. 

Like did you know there are dogs and mountains and bake…",0.164,0.836,0.0,41,0.5423
341,Fox,Fri Jun 08 07:55:05 +0000 2018,"@jennschiffer not missing much other than tone-deaf comments, really 🤷‍♀️",0.173,0.827,0.0,42,0.2235
342,Fox,Fri Jun 08 07:53:21 +0000 2018,"There are some exceptional engineers with plenty of public contributions. But, there are also numerous developers w… https://t.co/3V6Aqt7AXr",0.0,1.0,0.0,43,0.0
343,Fox,Fri Jun 08 07:49:23 +0000 2018,I even wrote about this 3 years ago. Prioritising contribution numbers pushes us to engage in impression management… https://t.co/bgiQdBqgsE,0.223,0.777,0.0,44,0.5106
344,Fox,Fri Jun 08 07:45:35 +0000 2018,I have done a bit of Open Source in my time as I was led to believe it was necessary for my career. It gave me very… https://t.co/ykiMkb9Ofg,0.0,1.0,0.0,45,0.0
345,Fox,Fri Jun 08 07:42:56 +0000 2018,Underrepresented groups earn 20%+ less than men and have to overperform to prove their worth. Holding traditional r… https://t.co/QgM7mHgCz9,0.095,0.905,0.0,46,0.2263
346,Fox,Fri Jun 08 07:40:05 +0000 2018,Github profile is excellent for validating problems with work-life balance and confirming that OS favours men with… https://t.co/3dOm1ZQrOk,0.348,0.547,0.105,47,0.7351
347,Fox,Thu Jun 07 20:51:50 +0000 2018,"RT @cczona: Time for me to move forward to a new job, and new adventures, in developer relations or open source advocacy. Preference for Sa…",0.094,0.906,0.0,48,0.34
348,Fox,Thu Jun 07 16:00:57 +0000 2018,@dinosaur_js so.. not keynote speakers aren’t getting announced? not very inclusive.,0.0,1.0,0.0,49,0.0
349,Fox,Thu Jun 07 15:28:08 +0000 2018,Work doesn’t define you. Company valuation or social credibility shouldn’t be a marker of skill either.,0.0,1.0,0.0,50,0.0
350,Fox,Thu Jun 07 15:22:34 +0000 2018,As someone from Eastern Europe who has never worked for a “recognizable startup” before I can attest I was met with… https://t.co/1CDIy8LuA0,0.0,1.0,0.0,51,0.0
351,Fox,Thu Jun 07 15:17:56 +0000 2018,💯 https://t.co/n1SWxe2qby,0.0,1.0,0.0,52,0.0
352,Fox,Thu Jun 07 10:10:04 +0000 2018,@ohhoe I would definitely suggest seeing a physio for starters (if there’s a lot of pain). They usually do targeted… https://t.co/WCxx8UGXtn,0.137,0.863,0.0,53,0.4019
353,Fox,Thu Jun 07 10:05:42 +0000 2018,"@ohhoe I had a lot of success with doing back+core strengthening exercises; a lot of ab work, handstands, etc. Afte… https://t.co/peNBvsbNnM",0.301,0.699,0.0,54,0.7845
354,Fox,Thu Jun 07 09:23:57 +0000 2018,@glenmaddern photos man,0.0,1.0,0.0,55,0.0
355,Fox,Thu Jun 07 09:15:51 +0000 2018,I keep hearing that I’m calling out exclusion for personal gains and marketing (?!) as if it didn’t cause severe an… https://t.co/bX1IQ3uKcl,0.094,0.706,0.2,56,-0.4003
356,Fox,Thu Jun 07 08:22:31 +0000 2018,"@nickfrancis haha, that is correct. thank you! 🎉👯",0.491,0.509,0.0,57,0.6996
357,Fox,Wed Jun 06 18:46:56 +0000 2018,RT @janaboruta: If you don’t advocate for yourself no one else will.,0.0,0.833,0.167,58,-0.296
358,Fox,Wed Jun 06 17:45:10 +0000 2018,"RT @amyngyn: I use the term ""social capital"" a lot, and most URMs know exactly what I mean. ""I can't afford to comment on this one because…",0.0,1.0,0.0,59,0.0
359,Fox,Wed Jun 06 17:41:25 +0000 2018,"Curious how many people who follow me live in Boston. Raise your hands, friends. 👋",0.31,0.69,0.0,60,0.6597
360,Fox,Wed Jun 06 15:13:27 +0000 2018,It’s not a good look if a conference pledging inclusion doesn’t reply to my email thanking for an invitation but re… https://t.co/a7hosMK8i3,0.0,0.918,0.082,61,-0.1786
361,Fox,Wed Jun 06 14:16:06 +0000 2018,"@serverhorror stigmatising mental health issues isn’t a ""positive word"".",0.34,0.66,0.0,62,0.5574
362,Fox,Wed Jun 06 13:25:15 +0000 2018,"Speaking of language and pointing out toxic cultures, „crazy” is an ableist term.

https://t.co/kTxqSHvPMe… https://t.co/ceQIDvqcV1",0.0,1.0,0.0,63,0.0
363,Fox,Wed Jun 06 09:05:55 +0000 2018,RT @rakyll: Tech leadership is broken. Most people think the goal is to win a debate. Tech leadership should be about enabling others to de…,0.131,0.761,0.107,64,0.1779
364,Fox,Tue Jun 05 19:13:37 +0000 2018,"Not mentioning that culturally, GitHub has been troubled for years. It will be great to see some strong, mature lea… https://t.co/PcKVhvpibV",0.338,0.563,0.099,65,0.802
365,Fox,Tue Jun 05 19:11:52 +0000 2018,I love the snarky developer outcry on how GitHub lost its independence in the process of being acquired as if the $… https://t.co/g4uFmjS3aN,0.146,0.66,0.194,66,-0.1027
366,Fox,Tue Jun 05 17:31:12 +0000 2018,"Thank you for an amazing time as always, Berlin. Another @CSSconfeu and @jsconfeu in the books. 

💖 to all the love… https://t.co/1eq19chHHM",0.249,0.751,0.0,67,0.743
367,Fox,Tue Jun 05 16:52:51 +0000 2018,"RT @kittenwithawhip: If you're in a good place to do so, today would be an especially great day to ask someone how they're doing and let th…",0.233,0.767,0.0,68,0.807
368,Fox,Tue Jun 05 16:38:58 +0000 2018,"Not a lot of people know about this, but anyone on Medicare in Australia can be eligible for Mental Health Care Pla… https://t.co/PExquk2XBd",0.17,0.83,0.0,69,0.6486
369,Fox,Tue Jun 05 16:37:53 +0000 2018,"Mental health care is crucial. There is no shame in seeking help. Talk to someone before it’s too late. ❤️ 

Austra… https://t.co/t4KD1EwPe4",0.202,0.616,0.182,70,0.1531
370,Fox,Tue Jun 05 09:21:52 +0000 2018,@Si thank you! 🌸,0.583,0.417,0.0,71,0.4199
371,Fox,Tue Jun 05 08:30:23 +0000 2018,RT @BusiMkhumbuzi: White women are far worse than white men. At least with white men you know you’re being seen and engaged as someone who…,0.094,0.799,0.108,72,-0.1027
372,Fox,Mon Jun 04 19:54:12 +0000 2018,The most exciting WWDC announcement is the new iOS 12 feature set for reducing screen time and notifications. More… https://t.co/iIGXWTc8R8,0.155,0.845,0.0,73,0.5413
373,Fox,Mon Jun 04 19:40:53 +0000 2018,"As I work on Inclusive Events, a resource for community leaders and event organisers, I’ve decided to share a chapt… https://t.co/cLslEnCDsB",0.115,0.885,0.0,74,0.296
374,Fox,Mon Jun 04 19:29:51 +0000 2018,"RT @sodevious: ""Marginalized is about treatment. 
Privilege is about access. 
Diversity is about variety.
Inclusion is about experience.""…",0.128,0.872,0.0,75,0.3612
375,Fox,Mon Jun 04 16:38:18 +0000 2018,"RT @nkkl: *smart, talented people leave GH because of sexism and hostile work environment*
Tech community: This is fine.

*uncool company w…",0.19,0.669,0.141,76,0.3182
376,Fox,Sun Jun 03 13:35:22 +0000 2018,RT @FINOkoye: Yes!! 👏🏾👏🏾 As someone who followed a very similar path (scholarship ticket 2016; watched online/via twitter 2017; speaker 201…,0.147,0.853,0.0,77,0.508
377,Fox,Sun Jun 03 13:27:20 +0000 2018,RT @taravancil: “Technology is not neutral. It encodes a set of values and as a political system it encodes a set of rights” -@pfrazee at #…,0.109,0.891,0.0,78,0.4019
378,Fox,Sun Jun 03 12:45:30 +0000 2018,Speaking truth to power. An excellent talk on design decision making and responsibility by @FINOkoye.  👏🏻 #jsconfeu https://t.co/0ybuSyGwyj,0.273,0.727,0.0,79,0.7184
379,Fox,Sun Jun 03 12:37:49 +0000 2018,"So glad to see @the_patima cover the topic of burnout, self-care and unhealthy overperformance cultivated by the te… https://t.co/HblzPyWYIe",0.139,0.718,0.144,80,-0.0276
380,Fox,Sun Jun 03 12:30:49 +0000 2018,"Best talks I’ve seen at #jsconfeu were given by women, and even more so, women of color. ✊🏾",0.198,0.802,0.0,81,0.6369
381,Fox,Sun Jun 03 10:40:49 +0000 2018,"Aussie team at #jsconfeu represents. 🇦🇺

https://t.co/hQnRLioQVF",0.0,1.0,0.0,82,0.0
382,Fox,Sun Jun 03 10:08:05 +0000 2018,"RT @veernacular: “white men, if you’re feeling uncomfortable right now, [then you’re only experiencing a tiny amount of what i do every day…",0.065,0.823,0.113,83,-0.2732
383,Fox,Sun Jun 03 07:30:16 +0000 2018,I cannot overstate how incredible leader @KimCrayton1  is. It was a privilege to see her on #jsconfeu stage. #causeascene,0.135,0.865,0.0,84,0.3612
384,Fox,Sat Jun 02 09:04:02 +0000 2018,"I’m at #jsconfeu for the next two days. Come say hi if you want to talk about web performance, community organizing… https://t.co/NzjfcJfR0d",0.058,0.942,0.0,85,0.0772
385,Fox,Sat Jun 02 09:02:54 +0000 2018,RT @misprintedtype: That opening... 😍😍😍 #jsconfeu https://t.co/oyfL5dHfPI,0.0,1.0,0.0,86,0.0
386,Fox,Sat Jun 02 08:25:55 +0000 2018,"@SandraPersing I don’t have any stickers to trade, but I feel like the fox one is very appropriate for me 😂🙏🏻",0.153,0.847,0.0,87,0.5023
387,Fox,Sat Jun 02 08:16:54 +0000 2018,Another example of a stellar production @jsconfeu is. https://t.co/9olYAicTDg,0.0,1.0,0.0,88,0.0
388,Fox,Sat Jun 02 08:12:30 +0000 2018,RT @bibydigital: 💘 @jsconfeu https://t.co/fovdb64tls,0.0,1.0,0.0,89,0.0
389,Fox,Sat Jun 02 07:57:38 +0000 2018,RT @jsconfeu: WELCOME TO JSCONF EU 2018!!! https://t.co/N8gFgOoICg,0.397,0.603,0.0,90,0.6817
390,Fox,Sat Jun 02 06:40:51 +0000 2018,"@sehurlburt I totally agree, I’ve had these rules for a long time now. I wrote about it too. https://t.co/xD4DYDlSQL",0.157,0.843,0.0,91,0.4201
391,Fox,Sat Jun 02 06:33:43 +0000 2018,If I got asked if I’m technical one more time at any event I swear there will be no mercy. https://t.co/qTVg2DnGYK,0.114,0.731,0.155,92,0.0258
392,Fox,Sat Jun 02 06:19:12 +0000 2018,"Currently watching the #jsconfeu opening rehearsal and what can I say…

Do
Not
Miss
This.",0.0,0.89,0.11,93,-0.1531
